GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dna,co.com.dna.domains.dto,StatisticsResponse,0,24,0,0,0,5,0,7,0,7
dna,co.com.dna.domains.dto,DnaRequest,0,10,0,0,0,3,0,3,0,3
dna,co.com.dna.domains,DnaEntity,13,11,0,0,3,2,4,3,4,3
dna,co.com.dna.domains,Diagonal,1,112,1,9,0,18,1,9,0,5
dna,co.com.dna.domains,Vertical,0,64,0,4,0,11,0,7,0,5
dna,co.com.dna.domains,MutantIdentifier,2,89,1,5,0,16,1,5,0,3
dna,co.com.dna.domains,InvertedDiagonal,13,99,1,9,1,17,2,8,1,4
dna,co.com.dna.domains,MatchFinder,10,133,8,26,2,30,7,17,0,7
dna,co.com.dna.domains,DNA,11,87,0,16,2,15,3,13,3,5
dna,co.com.dna.domains,Horizontal,0,64,0,4,0,11,0,7,0,5
dna,co.com.dna,DnaApisApplication,5,3,0,0,2,1,1,1,1,1
dna,co.com.dna.service.impl,DnaServiceImpl,0,97,1,3,0,23,1,7,0,6
dna,co.com.dna.exception,DnaException,0,7,0,0,0,3,0,1,0,1
dna,co.com.dna.controller,DnaController,0,29,0,0,0,5,0,3,0,3
